RTK Theater No,Metro,Theater Long Name,Circuit Name,Address,City,State,ZIP Code,Area,Active Screen Count,Link
961901,Raleigh-Durham (Fayetvlle),"Regal North Hills (Raleigh, NC)",REGAL,4150 Main at North Hills St.,"Raleigh, NC",NC,27609,"Raleigh/Durham, NC - North Raleigh",14,https://tickets.twosleepypeople.com/?lat=35.837199&lon=-78.64297799999997&location=Raleigh&country=US&date=2026-01-22
7429,"Rochester, NY","Regal Eastview Mall (Victor, NY)",REGAL,70 Eastview Mall Dr,"Victor, NY",NY,14564-1003,"Rochester, NY - South",13,https://tickets.twosleepypeople.com/?lat=43.025124&lon=-77.44527399999998&location=70%20Eastview%20Mall%20Drive%2C%20Town%20of%20Victor%2C%20New%20York%2014564%2C%20United%20States&country=US&date=2026-01-22
991910,Sacramnto-Stkton-Modesto,"Regal Delta Shores (Sacramento, CA)",REGAL,8136 Delta Shores Circle South,"Sacramento, CA",CA,95832,"Sacramento, CA - Laguna",14,https://tickets.twosleepypeople.com/?lat=38.46418&lon=-121.49486000000002&location=Sacramento&country=US&date=2026-01-22
8668,Sacramnto-Stkton-Modesto,"Regal Natomas Marketplace (Sacramento, CA)",REGAL,3561 Truxel Rd,"Sacramento, CA",CA,95834-3641,"Sacramento, CA - Sacramento",16,https://tickets.twosleepypeople.com/?lat=38.634578&lon=-121.50288599999999&location=Sacramento&country=US&date=2026-01-22
993039,San Francisco-Oak-San Jose,"Alamo Mountain View (Mountain View, CA)",Alamo Drafthouse,2575 California St.,"Mountain View, CA",CA,94040,"San Francisco, CA - Silicon",10,https://tickets.twosleepypeople.com/?lat=37.404897&lon=-122.10977500000001&location=Mountain%20View&country=US&date=2026-01-22
990280,San Francisco-Oak-San Jose,"Redwood Downtown 20 + XD (Redwood City, CA)",Cinemark,825 Middlefield Road,"Redwood City, CA",CA,94063,"San Francisco, CA - Silicon",20,https://tickets.twosleepypeople.com/?lat=43.823288&lon=-79.26302199999998&location=Scarborough&country=CA&date=2026-01-22
990244,San Francisco-Oak-San Jose,"Regal Hacienda Crossings (Dublin, CA)",REGAL,4999 Dublin Blvd,"Dublin, CA",CA,94568-7595,"East Bay, CA - Livermore",21,https://tickets.twosleepypeople.com/?lat=37.70390511882995&lon=-121.91309352440874&location=Dublin&country=US&date=2026-01-22
7593,Seattle-Tacoma,"Regal Meridian (Seattle, WA)",REGAL,1501 7th Ave,"Seattle, WA",WA,98101-1703,"Seattle, WA - City Center",16,https://tickets.twosleepypeople.com/?lat=38.418321&lon=-82.43220100000002&location=Huntington&country=US&date=2026-01-10
990962,Seattle-Tacoma,"Regal Thornton Place (Seattle, WA)",REGAL,316 NE Thornton Place,"Seattle, WA",WA,98125,"Seattle, WA - Shoreline",14,https://tickets.twosleepypeople.com/?lat=47.702788&lon=-122.325333&location=Seattle&country=US&date=2026-01-22
990528,Syracuse,"Regal Ithaca Mall (Ithaca, NY)",REGAL,40 Catherwood Road,"Ithaca, NY",NY,14850,"Syracuse, NY - Ithica",14,https://tickets.twosleepypeople.com/?lat=42.482134&lon=-76.49104599999998&location=Village%20of%20Lansing&country=US&date=2026-01-22
932898,"Washington, DC (Hagrstwn)","Regal Gallery Place (Washington, DC)",REGAL,701 7th St Nw,"Washington, DC",DC,20001,Washington DC - Downtown,14,https://tickets.twosleepypeople.com/?lat=38.898792&lon=-77.02107000000001&location=Washington&country=US&date=2026-01-22
906114,"Washington, DC (Hagrstwn)","Regal Majestic (Silver Spring, MD)",REGAL,900 Ellsworth Dr,"Silver Spring, MD",MD,20910,Washington DC - Bethesda,20,https://tickets.twosleepypeople.com/?lat=38.996549&lon=-77.02540099999999&location=Silver%20Spring&country=US&date=2026-01-22
